mos,fr
Fo pag a Elizabɛt na n doga bi-ribl n kõ-fo. ,"Élisabeth, ta femme, te donnera un fil."
Sĩif kõabnengã.,Dard d'abeille.
"Kõat baooda yel-sõmde, tɩ zãgsd baood beem.","Le généreux cherche l'amitié et celui qui refuse (le don) cherche des inimités. (Proverbe: le don crée des relations d'amitié, de bonne cohabitation et de confiance. Refuser un don, c'est briser cette chaîne de relations et fait naître la méfiance)."
Kõbr zã n kaoos yooda baag yam.,"Tenir un os pendant longtemps met le doute dans l'esprit du chien. (Proverbe: quand on s'attend à quelque chose qui ne voit pas le jour, on ne peut pas s'empêcher de s'inquiéter.)"
Baag yĩngã kõda ne rẽgdo.,Le corps du chien est plein de saleté.
A kõgda rãamã tɩ ya beoogo.,Elle prépare du dolo / bière.
Fo yaa kõgr woto la?,Es-tu stupide comme ça ?
Fo kõn wa ye.,Tu ne viendras pas.
Wakat kõngo.,En ce moment.
Yaa kõod wa rõodo.,C'est jaune comme la farine du néré.
A kõoga a zugã.,Il a rasé sa tête.
Zu-kõogo.,Tête rasée.
"A sã n da bãngẽ, a kõon n waẽ ye.",S'il avait su il ne serait pas venu.
A kõra zĩigã mood tɩ lebg neere.,Il a raclé l'herbe et la place est devenu jolie.
A kõsda kõs-koɛɛnga.,Il fait une toux sèche.
Gõaag n kõs maam.,Une épine m'a piqué.
A kõs raagã sẽne.,Il se dirige vers le marché.
Wẽnd na kõt laafɩ!,Que Dieu donne la santé !
Nin-kõtre.,Personne généreuse.
a gila a nugã n wẽ a kudgã.,Vas derrière le mur.
Sag-kudri.,Tô épais.
B kuiisame.,Ils sont rentrés chez soi.
Sãan yao kuilb a pegde a nus ko-yũudẽ.,"L'étranger veut mettre fin à son séjour, voilà qu'il lave ses mains dans les jarres. (Proverbe: lorsqu’on bénéficie de l'hospitalité, on doit bien se comporter pour avoir la sympathie des habitants.)"
M na n kuilame.,Je vais rentrer chez moi.
Kuils-y biigã tɩ wĩndg kẽeme.,Renvoyez l'enfant à la maison car le soleil s'est couché.
Sũmã kuirbame.,Les pois de terre se sont endurcis.
A kuirga a ninã.,Il a ouvert grandement les yeux.
Wãk kukuri.,Manche de houe.
a rɩta kukurundi.,il mange comme un cochon.
M na n kulame.,Je vais rentrer chez moi.
Pʋg-yãan-kulkuugu.,Une très vieille femme.
Raar fãa kullu.,Pour toujours.
"Yõk n lubã yaa ka pãnga, la gãe n kutẽ wã yaa f ka neda.","Se faire terrasser, c'est faute de force, mais se faire rosser dans la poussière, c'est ne pas avoir des partisans. (Proverbe, sens: la solidarité doit être exprimée chaque fois que de besoin.)"
"Gãeeng sã n dɩk f kurg / bɛnd tɩ f zoe n pʋg-a, fo me yaa gãeenga.","Si un fou s'empare de tes pantalons et que tu le poursuis, tu es aussi un fou. (Proverbe: il ne faut pas répondre le mal par le mal)"
Yʋʋm a yiib biig pa belgd na a kuroog ye.,"Un enfant de deux ans ne se flatte pas avec un monstre fictif. (Proverbe: on peut tromper quelqu'un une fois pour une raison ou pour une autre (ignorance, naïveté etc. ) mais on ne peut pas le tromper tout le temps.)"
Wed kursi.,Course cycliste.
Fo n kut la f zugdẽ.,"C'est toi qui forges et c'est toi que es aux soufflets. (Proverbe: ce proverbe est dit q` quelqu'un qui se contredit dans ses actions: elle fait preuve d'inconsistance dans ses actes alors que pour se faire comprendre, il faut cette constance.)"
Ka-koaad pa kuud n doog wa tãoos ye.,"Quand le cultivateur se courbe, il ne se redresse pas les mains vides comme le chasseur. (Proverbe: le secteur de l'agriculture est un secteur bénéfique et à ce titre, mérite d'être développé dans chaque pays)"
Rʋkã kũbundame tɩ zẽedã raag zãnga.,La marmite s'est renversée et toute la sauce est sortie.
"Yellã ra pak-a lame, la nebã kũm-a lame.",Un malheur lui est arrivé et les gens ont eu compassion avec lui.
biigã sẽn wa t'a yã-a la a sẽn be kũumẽ.,On ne doit pas enterrer un cadavre et laisser ses pieds dehors. Proverbe (Il ne faut pas exécuter un travail avec négligence)
Wẽnd kũun yɩɩd baoobo.,"Ce que Dieu a donné dépasse ce que l'on cherche. (Proverbe: dans toute entreprise humaine, Dieu a une place très importante.)"
A kʋʋ rũngã.,Il a tué le moustique.
"Kʋ-bil pa solgd yak ye, rɩ-bil n solgd yaka.","Des petites funérailles ne se cachent pas au voisin, c'est un petit plat qui se cache au voisin. (Proverbe: quand on est voisin, on doit partager aussi bien les événements heureux que les événements malheureux pour une vie harmonieuse en communauté)"
Pa togs-m kʋʋr zabda kʋ-yiri.,"Les plaintes de n'avoir été informé des funérailles se font au lieu des funérailles. (Proverbe: quand une faute est commise et qu'on doit se plaindre, la plainte doit être faite à la personne qui a commis la faute et n on par personnes interposées.)"
Kʋdem-bull ka ket kʋdem-koom ye.,"Le marigot des us et coutumes n'a plus d'eau des us et coutumes. (Proverbe: de nos jours, des pans très importants de nos cultures ont disparus et d'autres sont en voie de disparition. Il s'agit d'un amer constat)"
Zaamẽ me yaa kʋdemde.,"Hier, c'est aussi de l'histoire. (Proverbe: Hier, constitue l'histoire proche mais reste tout de même une histoire que celui qui l'a vécue peut enseigner aux autres)"
Fuugã kʋdgame.,Le vêtement a vieilli.
Yɩɩn-kʋdgo.,Ancien chant.
A yaa bãad-kʋdre.,C'est quelqu'un qui est malade depuis longtemps.
Kʋgs n waoogd bãoogo.,Ce sont les caïlcédrats qui honorent le bas-fond. (Proverbe: l'honneur de toute personne est le fait de ses semblables; il faut estimer et considérer les autres.)
Saagã kʋɩɩme n dat n ni.,La pluie se prépare pour pleuvoir.
"Ned kam fãa zãms zu-kʋr tʋkre, tɩ ka zĩis fãa n tar kʋɩds ye.",Proverbe;; Que chacun apprenne à porter les charges sans coussinet car il n'y a pas de coussinet partout.
"Kʋɩɩm yet tɩ koob noom me, roog tɩ d kul n yɩɩde.","Le paresseux dit que même si le labour est intéressant, rentrons à la maison est toujours mieux. (proverbe indiquant: quelle que soit l’occupation de quelqu'un, qu'elle soit intéressante ou pénible, il arrive des moments où il faut arrêter.)"
Kʋɩɩm yet tɩ sẽoog / yʋʋmd tʋ la a wa.,Le paresseux dit que l'année (ou l'hivernage) n'a qu'à s'en aller et revenir. (proverbe: il s'agit d'une personne qui ne respecte pas sa parole ou ses engagements)
Yellã yaa vẽeneg kʋɩra.,Ce problème est évident.
A kʋkda a zug n kelme.,Il met les mains autour de la tête et pleure.
Kʋɩlg bas m yam yaa kʋl-koɛɛnga.,"La confiance à un marigot, c'est quand le marigot est sec. (Proverbe, sens: Il faut toujours être prudent, et ne pas prendre des risques inutiles)"
A kʋnda fuugã tɩ ya neere.,Il brode l’habit pour que ça soit jolie.
kʋmb raadã taab n sẽbge.,Résume son discours pour nous.
Nif kʋmda a mita.,L’œil pleure la personne qu'il connaît. (proverbe: chaque individu compatit aux peines de la personne qu'il connaît.)
Ra kʋms biigã.,Ne fais pas que l'enfant pleure.
Kelg yaa bõe n tar kʋr-kʋrã?,"Écoute, c'est quoi qui fait ce bruit-là ?"
Maan-kʋsga.,Gombo dur.
Maanã kʋsgame.,Les gombos sont devenus durs.
Yãag-yãg kʋʋda kɩɩg tɩ bugum kae n sẽed ye.,Un trop grand empressement tue le rat palmiste mais il n'y aura pas de feu pour griller. (Proverbe: on peut saisir une aubaine sans pour autant qu'elle nous soit utile du fait que certaines conditions ne seront pas remplies.)
"«Yagre» kʋʋg-n-gʋlsga, yaa «yag».",L’abréviation pour le mot «pluriel» est «pl.».
A Zã kʋʋlame.,Jean a vieilli.
"F sã n gãe f to pĩirẽ, f gãee tẽnga.","Quand tu es couché sur la natte d'autrui, tu dois considérer que tu es couché à même le sol. (proverbe, il ne faut pas rester dépendant d'autrui)"
"F pa nong ned me, f nong f yʋʋre.","Proverbe: Même si tu n'aimes personne, tu aimes ton homonyme. (Les ressemblances s'attirent)"
Fuugã yaa faaga.,L'habit est léger.
"Wobg sã n yet t'a faagẽ me, a são yõngre.","Même si l'éléphant est amaigri, il vaut mieux que la souris. (Proverbe: un riche en faillite s'en sortira toujours mieux que l'indigent/pauvre)"
Weefã pĩni siga zãng faga.,Le pneu du vélo est complètement plat.
Fuugã yaa pɛɛlg faga.,L'habit est très blanc.
A rɩta mui daar fã t'a yam fake.,Il mange du riz tous les jours et il a fini par le dégoûter.
A moee sagbã fal-fal n kõ bãada.,Elle a fait du tô léger pour le malade.
A wanda beem n dɩt a falenga.,La punition infligée à l'aîné des circoncis n'épargne pas le cadet des circoncis. (Proverbe: il arrive qu'on subisse les conséquences des erreurs d'autres personnes du fait de nos relations avec elles.)
A peka a fuugã t'a lebg pɛɛlg falll.,Elle a lavé son habit qu'il est devenu tout blanc.
Yaa faoore. Ad yaa faoore!,C'est dommage. Quel dommage !
Fuugã yaa pɛɛlg fara.,L'habit est tout blanc.
A nengã lebga fayy.,Son visage est devenu brillant.
Y fãa wa.,Venez tous.
A vʋʋsa fãa...,Il respire avec soupir.
Wẽnnaam zẽka a Zezi tɩ b be bãmb rɩtgo n yaa rĩmã la fãagda.,Dieu a élevé à sa droite Jésus pour être Roi et Sauveur.
A Zezi fãaga tõnd n yiis likã pãngẽ.,Jésus nous a sauvé de la puissance des ténèbres.
Yaa Wẽnnaam barkã yĩng la yãmb paam fãagre.,C'est par la grâce de Dieu que vous avez le salut.
Ba fãeega maam koom.,On m'a éclaboussé de l'eau.
Fãoob pa lubd lalg ye.,"Renforcer le mur ne le fait pas tomber. (proverbe: on peut faire plus que absolument nécessaire, c'est encore mieux)"
Fẽes f yõ-fãtã.,Mouche-toi la morve du nez.
Fe n ning pãnga.,Pourvu que tu fasses un effort.
Nug-febelle.,Doigt brûlé.
A yãsame n febendẽ tɩ m ka wʋmd a goama ye.,Il parle tellement rapidement que je ne comprend pas.
Bɩ bʋ-kaoodbã fees yellã neere.,"Les juges mèneront une enquête minutieuse,"
Rɩ-nana feooda yẽna.,De la nourriture facile déchausse les dents. (proverbe disant que de faire attention aux choses ‹faciles› il en peut avoir des désavantages cachés).
"Bʋta sẽn fẽrgd bõn-buudã, kẽer lʋɩɩ sor kɩrenga.","Le semeur semait, une partie de la semence tomba le long du chemin."
Yaa zĩ-fẽbgdem.,C'est un endroit poreux.
Zĩigã fẽbga koomã.,L'endroit a laissé infiltrer l'eau.
"Neb tus‑tusa tigma taaba, n sẽbg taaba, tɩ ya wa b na n fẽda taaba.","Les gens s'étant rassemblés par milliers, au point de s'écraser les uns les autres."
Yaa bul-fẽebdse.,Ce sont des puits qui tarissent.
A gesa fẽmm.,Elle a regardé intensivement.
Sag-fẽoolle.,Du tô consistant.
A fẽoosa kõbrã.,Il a aspiré la moelle de l'os.
A yĩngã pida ne tʋʋl-biis fẽra.,Son corps est plein de boutons de fièvre.
Yaa taan-fẽta.,Ce sont des fruits de karité écrasés.
A fɛɛda wʋsgo.,Il est très paresseux.
Zĩigã yaa maasr fɛda.,Le lieu est humide et désagréable.
Fɛɛs biigã n ges tɩ f bãngda fãa..,Questionne l'enfant pour que tu saches tout.
A loee wĩirã fibga.,Il a attaché la corde de manière que ça peut tomber.
Pagã fida a meng ne fu-paale.,La femme porte des nouveaux habits.
A loee wĩirã fisg tɩ loke.,Les cordes mal reliées se sont détachés.
Tʋb-fiuk.,Larges oreilles (ex. d'éléphant).
"Zug sã n fiuugi, nin-zabr saame.","Si la tête est tranchée, les maux d'yeux prennent fin. (Proverbe: pour résoudre un problème, il faut combattre efficacement ses causes)"
Kar-fiuungu.,Pied coupé.
Baa fɩ.,Rien de tout.
A fɩbga baagã ne sãbga.,Il a donné un coup de fouet au chien.
Minim noog wãbda ne fɩɩba.,"L'habitude du bon goût fait que l'on mange le mil avec les balles. Proverbe: même avec l'habitude et la confiance, il faut toujours de la prudence pour ne pas être désagréablement surpris.)"
Koambã noor fɩɩgame.,Le nombre d'enfants a augmenté.
Kɩɩg pa wʋmd fɩɩlgo t'a yõy ye yũn ye.,"Si le rat palmiste entend le sifflement, son nez ne saignera pas. (proverbe: quand quelqu'un est avisé d'une situation, il n'en sera plus victime parce qu'il prendra ses précautions pour se prémunir)"
Yʋng pa fɩɩndã ya f bɛnd (bɩ roog) n pa yõk bugum.,"On ne siffle pas la nuit, c'est si ton cache-sexe (ou ta maison) n'a pas pris feu. (proverbe disant: le respect de tout interdit dépend de la situation dans laquelle l'homme se trouve.)"
A fɩk n lʋɩ.,Il a été projeté et est tombé.
A gomda fɩlem-fɩlem.,Elle parle rapidement.
Zẽedã yaa fɩma.,La sauce est piquante.
A tũu so-fɩrg n salg n lʋɩ.,Il a suivi un chemin boueux et est tombé.
B ka loe naafã neer t'a fɩsg n looge.,Ils n'ont pas bien attaché la vache et elle s'est libérée.
Wẽnd na kõ-fo.,Puisse Dieu te donner.
yaa bõe nem-fol-fole la woto?,Viande gluante.
A gomda ne foo.,Elle s'adresse à toi.
"Dũni yaa wãams roogo, bã,b tiid tɩ bãmb pogd n fooda.","Le monde est une case de singes, ceux-ci construisent et ceux-là détruisent. (proverbes indiquant: un objectif communautaire ne peut jamais faire l'unanimité.)"
A fooga baagã.,Il a frappé le chien.
"La foom, fo baood n maana bõn-kãsemse?","Mais toi, tu rechercherais de grandes choses?"
A kẽe roogẽ wã fõara.,Il est entré en profondeur dans la maison.
"Zug sã n beẽ, pugl ka fõg rũmd ye.","S'il y a une tête, on ne porte pas le bonnet au genou. (Proverbe; quand quelque chose d'anormal se fait, c'est souvent par contrainte)"
Ned ka yõgend fɩtla n fõgn-a ne peoogo.,"Personne, après avoir allumé une lampe, ne la couvre d'une corbeille."
A fõka a puglã n wõgemd n pʋʋs naaba.,"Il a enlevé son chapeau, s'est courbé et a salué le chef."
Kõb-fõr-fõre.,Os poreux.
Fuugã yaa pɛɛlg fõss.,L'habit est impeccablement blanc.
Wẽnd na gũ-fu.,Que Dieu te garde.
Safãndã fugda sõama.,Le savon mousse bien.
A fugumda fuugã.,Il secoue l'habit.
A furga pĩirã ne sʋʋga.,Il a transpercé la natte avec un couteau.
A wẽe furrr.,Il a tapé précipitamment.
Da maan-y yɩɩr ne bũmb baa fʋɩ ye.,Ne vous souciez de rien.
A fʋka a zãnde.,Il va torse nu.
N kis baag n yaool n fʋrsd a bɩɩm?,"On ne doit pas avoir comme interdit le chien et boire la soupe de sa viande. (Proverbe, sens: On doit scrupuleusement observer son interdiction)"
Bur-maasa bee fʋʋrã pʋga,Le gâteau est dans le four.
kolg n fʋʋs bugmã tɩ widgi.,"Le crapaud dit qu'on s'intimide pour s'accaparer des éphémères, la termitière n'appartient à personne. (Proverbe: tout le monde doit profiter de la bonté de la nature tout comme les richesses nationales pour éviter d'éventuels conflits.)"
D wʋmame. D yɩɩle.,Nous avons entendu. Chantons.
A wʋmame. A wʋmdame.,Il a entendu. Il entends.
B da waame.,Ils étaient venus.
D ra kẽng ye.,N'y allons pas.
Bi-yam n daad a ma samsa.,"L'enfant intelligent achète les beignets de sa mère. (Proverbe: Ainsi l'argent de l'enfant reste avec sa mère, il n'y a pas de fuites d'économies. ‹Consommons ce que nous produisons›)"
"Daag yi laafɩ, yaa pagb n loe bãongo.","Si le marché se vide en paix, ce sont les femmes qui y auront aidé. (Proverbe: dans une situation de paix et de stabilité, il faut reconnaître le mérite et la bonne volonté de certaines personnes que auraient pu faire des révélations ou avoir des comportements pouvant occasionner la guerre.)"
"Koom sã n bidg n daage, yʋʋr ketame, f ye lebda kʋlgẽ.","Que l'eau soit versée n'est pas un problème, on retourne au puits parce que la jarre est toujours en bon état. (Proverbe: quelle que soit la douleur, les difficultés ou les échecs que nous vivons, nous devons toujours garder l'espoir et ne pas désespérer car, la douleur et toutes ces situations difficiles auront une solution et feront place à la joie.)"
"Soaamb sũ-noog raare, a zug kẽeda waoogẽ.","Le jour où le lièvre manifeste une grande exubérance, il finit dans une gibecière. (Proverbe: la manifestation de la joie entraîne souvent des débordements engendrant des désagréments. Il faut manifester sa joie avec prudence et modération.)"
Daare saagã na ni rũndã.,Peut-être qu'il va pleuvoir aujourd'hui.
Mam dabda raaga.,Je vais au marché.
Fo waa dabʋre?,Quand est-tu venu ?
A dag n waa ka.,Il était venu ici.
M data koom.,Je veux de l'eau.
Biigã rata rɩɩbo.,L'enfant veut de la nourriture.
A Poll dãmba.,Paul et compagnie.
M kõn deem ne biig deemda f yembre.,"Qui ne veut pas s'amuser avec un enfant, s'amusera seul. (Proverbe: toute chose, quelle que soit sa valeur, a son importance dans la vie. Les humains sont complémentaires.)"
"Wudg-y sã n deng taoore, yals-y pa tõe ye.","Si l'ordre de courir est lancé, l'ordre de s’arrêter est en vain. (Proverbe: Dans un premier temps, quand une information est donnée en premier lieu alors qu'elle est fausse, même en la rectifiant, il est difficile d'avoir les effets escomptées, des désagréments seront escomptés.)"
"Dẽ, a Maari yeelame yaa: Mam yaa Zu-soabã tʋmtʋmd poaka.",Alors Marie a dit : «Je suis la servante du Seigneur.»
"Dẽ poore, a Zã kẽnga Bobo soolmẽ.","Après cela, Jean est allé dans la région de Bobo."
"Zu-soaba, mam ma-bi-poakã sẽn bas maam m yembr tɩ m get seglgã yellã, ka namsd yãmba? Dẽ wã yaa, yeel-y-yã-a t'a sõng-ma.","Seigneur, tu ne te mets pas en peine de ce que ma sœur me laisse seule pour servir? Dis-lui donc de m'aider."
"Mam yaa Alfa la Omega, dẽenem la yaoolem, sɩngr la sɛɛbo. ","Je suis l'Alpha et l'Oméga, le premier et le dernier, le commencement et la fin. "
Fo rẽnda la woto.,C'est ta part comme ça.
A fuugã yaa sablg diga.,Son habit est très noir.
Rɩk kugrã n rĩ sɛbã tɩ sobgã na n dɩkame.,"Mets une pierre sur les feuilles de papier, sinon le vent va les emporter."
Ned pa pengd a to ger n dĩng wĩir / gĩsg ye.,"On n'emprunte pas la cuisse d'autrui pour filer / tisser une corde. (Proverbe: même si nous pouvons compter sur la générosité de nos connaissances en cas de besoin, nous devons savoir que cette générosité a des limites.)"
